url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_230_150_486,Studio Wildcard Instinct Games Efecto Studios Virtual Basement LLC Abstraction Games,Action,,None,"12 Dec, 2017",,ARK: Aberration - Expansion Pack,http://store.steampowered.com/app/708770/ARK_Aberration__Expansion_Pack/?snr=1_7_7_230_150_486,{}
http://store.steampowered.com/app/685430/Run_Crabby_Run/?snr=1_7_7_230_150_486,Crabby Team,Adventure,1 user reviews,2.19,"2 Aug, 2017",,Run Crabby Run,http://store.steampowered.com/app/685430/Run_Crabby_Run/?snr=1_7_7_230_150_486,{}
http://store.steampowered.com/app/499460/Tomato_Jones/?snr=1_7_7_230_150_486,HA Studio Ltd.,Action,Very Positive,4.29,"11 Jul, 2016",,Tomato Jones,http://store.steampowered.com/app/499460/Tomato_Jones/?snr=1_7_7_230_150_486,{}
http://store.steampowered.com/app/584091/Little_Nightmares__Upsidedown_Teapot/?snr=1_7_7_230_150_484,Tarsier Studios,Adventure,,2.19,,,Little Nightmares - Upside-down Teapot,http://store.steampowered.com/app/584091/Little_Nightmares__Upsidedown_Teapot/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/agecheck/app/576617/?snr=1_7_7_230_150_484,Brightly Studios,Adventure,,2.69,Dec 2017,,Galaxy Girls - Poker Night,http://store.steampowered.com/app/576617/,{}
http://store.steampowered.com/app/759900/The_13th_Heir__Ragnarok_Chapter_2/?snr=1_7_7_230_150_485,Samuel James Swartout,Action,,None,"20 Dec, 2017",,The 13th Heir - Ragnarok Chapter 2,http://store.steampowered.com/app/759900/The_13th_Heir__Ragnarok_Chapter_2/?snr=1_7_7_230_150_485,{}
http://store.steampowered.com/app/659780/Darkness_and_a_Crowd/?snr=1_7_7_230_150_485,Seth Albertus,Action,,None,"30 Mar, 2018",,Darkness and a Crowd,http://store.steampowered.com/app/659780/Darkness_and_a_Crowd/?snr=1_7_7_230_150_485,{}
http://store.steampowered.com/app/712270/agecheck?snr=1_7_7_230_150_484,Yai Gameworks,Adventure,,2.19,"15 Dec, 2017",,The Crack I Found That Taketh - Official Soundtrack,http://store.steampowered.com/app/712270/The_Crack_I_Found_That_Taketh__Official_Soundtrack/,{}
http://store.steampowered.com/app/418770/Ancient_Vanguard/?snr=1_7_7_230_150_484,Crystal Dynamics,Action,2 user reviews,3.14,,,Ancient Vanguard,http://store.steampowered.com/app/418770/Ancient_Vanguard/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/640350/ESSENCE__VR_Addon/?snr=1_7_7_230_150_484,ONEVISION GAMES,Adventure,,None,Coming Soon,,ESSENCE - VR Addon,http://store.steampowered.com/app/640350/ESSENCE__VR_Addon/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/760340/The_Black_Watchmen__Whitechapel/?snr=1_7_7_230_150_484,Alice & Smith,Adventure,,None,"15 Dec, 2017",,The Black Watchmen - Whitechapel,http://store.steampowered.com/app/760340/The_Black_Watchmen__Whitechapel/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/418700/Tactical_Survivor_Pack/?snr=1_7_7_230_150_484,Crystal Dynamics,Action,,3.14,,,Tactical Survivor Pack,http://store.steampowered.com/app/418700/Tactical_Survivor_Pack/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/618090/HHH_Day_of_Judgment__PROMO/?snr=1_7_7_230_150_484,L. Stotch,Action,,None,2018,,HHH: Day of Judgment - PROMO,http://store.steampowered.com/app/618090/HHH_Day_of_Judgment__PROMO/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/418760/Siberian_Ranger/?snr=1_7_7_230_150_484,Crystal Dynamics,Action,5 user reviews,3.14,,,Siberian Ranger,http://store.steampowered.com/app/418760/Siberian_Ranger/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/418690/Hopes_Bastion_Pack/?snr=1_7_7_230_150_484,Crystal Dynamics,Action,,3.14,,,Hope's Bastion Pack,http://store.steampowered.com/app/418690/Hopes_Bastion_Pack/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/584090/Little_Nightmares__Scarecrow_Sack/?snr=1_7_7_230_150_484,Tarsier Studios,Adventure,,2.19,,,Little Nightmares - Scarecrow Sack,http://store.steampowered.com/app/584090/Little_Nightmares__Scarecrow_Sack/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/418710/Apex_Predator_Pack/?snr=1_7_7_230_150_484,Crystal Dynamics,Action,,3.14,,,Apex Predator Pack,http://store.steampowered.com/app/418710/Apex_Predator_Pack/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/418680/Sparrowhawk_Pack/?snr=1_7_7_230_150_484,Crystal Dynamics,Action,,3.14,,,Sparrowhawk Pack,http://store.steampowered.com/app/418680/Sparrowhawk_Pack/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/640360/ESSENCE__Soundtrack/?snr=1_7_7_230_150_484,ONEVISION GAMES,Adventure,,None,Coming Soon,,ESSENCE - Soundtrack,http://store.steampowered.com/app/640360/ESSENCE__Soundtrack/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/737790/Rest_House_VR/?snr=1_7_7_230_150_484,studio Don Quixote,Adventure,,None,"20 Oct, 2017",,Rest House VR,http://store.steampowered.com/app/737790/Rest_House_VR/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/712640/Dont_Starve_Hamlet/?snr=1_7_7_230_150_484,Klei Entertainment,Adventure,,None,Q1/Q2 2018,,Don't Starve: Hamlet,http://store.steampowered.com/app/712640/Dont_Starve_Hamlet/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/640610/DYSTOA__VR/?snr=1_7_7_230_150_484,ONEVISION GAMES,Adventure,,None,Q IV 2017,,DYSTOA - VR,http://store.steampowered.com/app/640610/DYSTOA__VR/?snr=1_7_7_230_150_484,{}
http://store.steampowered.com/app/742150/Heart_of_the_House/?snr=1_7_7_230_150_455,Choice of Games,Adventure,Positive,14.49,"26 Oct, 2017",,Heart of the House,http://store.steampowered.com/app/742150/Heart_of_the_House/?snr=1_7_7_230_150_455,{}
http://store.steampowered.com/app/461100/agecheck?snr=1_7_7_230_150_454,The Shady Gentlemen,Adventure,,49.99,2017,,SteamDolls VR,http://store.steampowered.com/app/461100/SteamDolls_VR/,{}
http://store.steampowered.com/app/652190/Emily_Wants_to_Play_Too/?snr=1_7_7_230_150_454,Shawn Hitchcock,Action,,None,4th Quarter 2017,,Emily Wants to Play Too,http://store.steampowered.com/app/652190/Emily_Wants_to_Play_Too/?snr=1_7_7_230_150_454,{}
http://store.steampowered.com/agecheck/app/50300/?snr=1_7_7_230_150_454,Yager Development,Action,Very Positive,44.99,"28 Jun, 2012",76,Spec Ops: The Line,http://store.steampowered.com/app/50300/,{}
http://store.steampowered.com/app/525031/Watch_Dogs_2__No_Compromise/?snr=1_7_7_230_150_452,Ubisoft,Action,Mixed,19.99,"18 May, 2017",,Watch_Dogs® 2 - No Compromise,http://store.steampowered.com/app/525031/Watch_Dogs_2__No_Compromise/?snr=1_7_7_230_150_452,{}
http://store.steampowered.com/app/418790/Endurance_Mode/?snr=1_7_7_230_150_477,Crystal Dynamics,Action,2 user reviews,9.99,,,Endurance Mode,http://store.steampowered.com/app/418790/Endurance_Mode/?snr=1_7_7_230_150_477,{}
http://store.steampowered.com/agecheck/app/222480/?snr=1_7_7_230_150_476,Capcom,Action,Very Positive,59.99,"20 May, 2013",77,Resident Evil Revelations / Biohazard Revelations,http://store.steampowered.com/app/222480/,{}
http://store.steampowered.com/app/215530/The_Incredible_Adventures_of_Van_Helsing/?snr=1_7_7_230_150_476,NeocoreGames,Action,Very Positive,27.99,"22 May, 2013",,The Incredible Adventures of Van Helsing,http://store.steampowered.com/app/215530/The_Incredible_Adventures_of_Van_Helsing/?snr=1_7_7_230_150_476,{}
http://store.steampowered.com/app/525032/Watch_Dogs_2__Urban_Artist_Pack/?snr=1_7_7_230_150_476,Ubisoft,Action,1 user reviews,9.99,,,Watch_Dogs® 2 - Urban Artist Pack,http://store.steampowered.com/app/525032/Watch_Dogs_2__Urban_Artist_Pack/?snr=1_7_7_230_150_476,{}
http://store.steampowered.com/app/218350/Unmechanical_Demo/?snr=1_7_7_230_150_476,Talawa Games,Adventure,6 user reviews,None,,,Unmechanical Demo,http://store.steampowered.com/app/218350/Unmechanical_Demo/?snr=1_7_7_230_150_476,{}
http://store.steampowered.com/app/418780/Prophets_Legacy/?snr=1_7_7_230_150_476,Crystal Dynamics,Action,2 user reviews,3.14,,,Prophet's Legacy,http://store.steampowered.com/app/418780/Prophets_Legacy/?snr=1_7_7_230_150_476,{}
http://store.steampowered.com/app/555240/Watch_Dogs_2__Season_Pass/?snr=1_7_7_230_150_475,Ubisoft,Action,1 user reviews,79.99,,,Watch_Dogs® 2 - Season Pass,http://store.steampowered.com/app/555240/Watch_Dogs_2__Season_Pass/?snr=1_7_7_230_150_475,{}
http://store.steampowered.com/app/365940/Dungeon_of_the_Endless__Australium_Update/?snr=1_7_7_230_150_475,AMPLITUDE Studios,Adventure,Positive,37.99,,79,Dungeon of the Endless™ - Australium Update,http://store.steampowered.com/app/365940/Dungeon_of_the_Endless__Australium_Update/?snr=1_7_7_230_150_475,{}
http://store.steampowered.com/app/567380/Heartbound/?snr=1_7_7_230_150_452,Pirate Software,Action,,None,,,Heartbound,http://store.steampowered.com/app/567380/Heartbound/?snr=1_7_7_230_150_452,{}
http://store.steampowered.com/agecheck/app/50300/?snr=1_7_7_230_150_452,Yager Development,Action,Very Positive,44.99,"28 Jun, 2012",76,Spec Ops: The Line,http://store.steampowered.com/app/50300/,{}
http://store.steampowered.com/app/72900/Winter_Voices/?snr=1_7_7_230_150_474,inner seas,Adventure,Mixed,8.49,"29 Oct, 2010",,Winter Voices,http://store.steampowered.com/app/72900/Winter_Voices/?snr=1_7_7_230_150_474,{}
http://store.steampowered.com/agecheck/app/404090/?snr=1_7_7_230_150_455,Bethesda Game Studios,RPG,Mostly Negative,195.00,"22 Mar, 2016",,Fallout 4 Season Pass,http://store.steampowered.com/app/404090/,{}
http://store.steampowered.com/app/508405/DRAGON_BALL_Xenoverse_2__PreOrder_Bonus/?snr=1_7_7_230_150_472,QLOC DIMPS,Action,1 user reviews,10.49,,,DRAGON BALL Xenoverse 2 - Pre-Order Bonus,http://store.steampowered.com/app/508405/DRAGON_BALL_Xenoverse_2__PreOrder_Bonus/?snr=1_7_7_230_150_472,{}
http://store.steampowered.com/app/418800/Baba_Yaga_The_Temple_of_the_Witch/?snr=1_7_7_230_150_472,Crystal Dynamics,Action,8 user reviews,9.99,,,Baba Yaga: The Temple of the Witch,http://store.steampowered.com/app/418800/Baba_Yaga_The_Temple_of_the_Witch/?snr=1_7_7_230_150_472,{}
http://store.steampowered.com/app/570660/agecheck?snr=1_7_7_230_150_455,"Nicalis, Inc. Edmund McMillen",Action,Mixed,Price:,"3 Jan, 2017",,The Binding of Isaac: Afterbirth+,http://store.steampowered.com/app/570660/The_Binding_of_Isaac_Afterbirth/,{}
http://store.steampowered.com/app/529030/Barrow_Hill_Curse_of_the_Ancient_Circle__Soundtrack/?snr=1_7_7_230_150_455,Shadow Tor Studios,Adventure,,To,"22 Sep, 2016",,Barrow Hill: Curse of the Ancient Circle - Soundtrack,http://store.steampowered.com/app/529030/Barrow_Hill_Curse_of_the_Ancient_Circle__Soundtrack/?snr=1_7_7_230_150_455,{}
http://store.steampowered.com/app/593280/Cat_Quest/?snr=1_7_7_230_150_455,The Gentlebros,Action,Overwhelmingly Positive,25.99,"8 Aug, 2017",78,Cat Quest,http://store.steampowered.com/app/593280/Cat_Quest/?snr=1_7_7_230_150_455,{}
http://store.steampowered.com/app/652190/Emily_Wants_to_Play_Too/?snr=1_7_7_230_150_455,Shawn Hitchcock,Action,,None,4th Quarter 2017,,Emily Wants to Play Too,http://store.steampowered.com/app/652190/Emily_Wants_to_Play_Too/?snr=1_7_7_230_150_455,{}
http://store.steampowered.com/app/582172/theHunter__Stealth_Hunter/?snr=1_7_7_230_150_455,Expansive Worlds Avalanche Studios,Action,6 user reviews,36.99,"26 Jan, 2017",,theHunter - Stealth Hunter,http://store.steampowered.com/app/582172/theHunter__Stealth_Hunter/?snr=1_7_7_230_150_455,{}
http://store.steampowered.com/app/718320/FoxyLand/?snr=1_7_7_230_150_453,BUG-Studio,Adventure,Positive,6.29,"17 Oct, 2017",,FoxyLand,http://store.steampowered.com/app/718320/FoxyLand/?snr=1_7_7_230_150_453,{}
