url,developer,genre,overall_Reviews,price,release_date,score,title,url,...
http://store.steampowered.com/app/715480/Fantasy_Grounds__Pathfinder_RPG__Ultimate_Magic_PFRPG/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,84.99,"14 Sep, 2017",,Fantasy Grounds - Pathfinder RPG - Ultimate Magic (PFRPG),http://store.steampowered.com/app/715480/Fantasy_Grounds__Pathfinder_RPG__Ultimate_Magic_PFRPG/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/741170/Fantasy_Grounds__NEW_WOiN/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,37.99,"26 Oct, 2017",,Fantasy Grounds - N.E.W. (WOiN),http://store.steampowered.com/app/741170/Fantasy_Grounds__NEW_WOiN/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/727870/Fantasy_Grounds__Midgard_Heroes_5E/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,28.99,"5 Oct, 2017",,Fantasy Grounds - Midgard Heroes (5E),http://store.steampowered.com/app/727870/Fantasy_Grounds__Midgard_Heroes_5E/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/754290/Fantasy_Grounds__Pathfinder_RPG__Mummys_Mask__AP_3_Shifting_Sands_PFRPG/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,45.99,"16 Nov, 2017",,Fantasy Grounds - Pathfinder RPG - Mummy's Mask  AP 3: Shifting Sands (PFRPG),http://store.steampowered.com/app/754290/Fantasy_Grounds__Pathfinder_RPG__Mummys_Mask__AP_3_Shifting_Sands_PFRPG/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/757790/Fantasy_Grounds__Mythic_Monsters_14_Giants_PFRPG/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,16.59,"30 Nov, 2017",,Fantasy Grounds - Mythic Monsters #14: Giants (PFRPG),http://store.steampowered.com/app/757790/Fantasy_Grounds__Mythic_Monsters_14_Giants_PFRPG/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/737350/Fantasy_Grounds__Noble_Cause_Bloodied_Hands_PFRPG/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,20.69,"20 Oct, 2017",,"Fantasy Grounds - Noble Cause, Bloodied Hands (PFRPG)",http://store.steampowered.com/app/737350/Fantasy_Grounds__Noble_Cause_Bloodied_Hands_PFRPG/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/732270/Fantasy_Grounds__Creature_Components_Volume_1_PFRPG/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,22.79,"18 Oct, 2017",,Fantasy Grounds - Creature Components Volume 1 (PFRPG),http://store.steampowered.com/app/732270/Fantasy_Grounds__Creature_Components_Volume_1_PFRPG/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/759330/Fantasy_Grounds__Forest_Map_Pack_by_Joshua_Map_Pack/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,10.89,"30 Nov, 2017",,Fantasy Grounds - Forest Map Pack by Joshua (Map Pack),http://store.steampowered.com/app/759330/Fantasy_Grounds__Forest_Map_Pack_by_Joshua_Map_Pack/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/755710/Fantasy_Grounds__Heros_Blood_PFRPG/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,22.79,"30 Nov, 2017",,Fantasy Grounds - Hero's Blood (PFRPG),http://store.steampowered.com/app/755710/Fantasy_Grounds__Heros_Blood_PFRPG/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/762060/Fantasy_Grounds__Savage_Suzerain_Dogs_Of_Hades_Savage_Worlds/?snr=1_7_7_230_150_47,"SmiteWorks USA, LLC",Indie,,47.49,"30 Nov, 2017",,Fantasy Grounds - Savage Suzerain: Dogs Of Hades (Savage Worlds),http://store.steampowered.com/app/762060/Fantasy_Grounds__Savage_Suzerain_Dogs_Of_Hades_Savage_Worlds/?snr=1_7_7_230_150_47,{}
http://store.steampowered.com/app/316491/Fantasy_Grounds__PFRPG_BASIC2__A_Frightful_Time/?snr=1_7_7_230_150_48,"SmiteWorks USA, LLC",Indie,,12.39,"28 Jul, 2014",,Fantasy Grounds - PFRPG: BASIC2 - A Frightful Time,http://store.steampowered.com/app/316491/Fantasy_Grounds__PFRPG_BASIC2__A_Frightful_Time/?snr=1_7_7_230_150_48,{}
http://store.steampowered.com/app/308140/Fantasy_Grounds__35EPFRPG_1_on_1_Adventure_3_The_Forbidden_Hills/?snr=1_7_7_230_150_48,"SmiteWorks USA, LLC",Indie,,16.59,"17 Jun, 2014",,Fantasy Grounds - 3.5E/PFRPG 1 on 1 Adventure #3 The Forbidden Hills,http://store.steampowered.com/app/308140/Fantasy_Grounds__35EPFRPG_1_on_1_Adventure_3_The_Forbidden_Hills/?snr=1_7_7_230_150_48,{}
http://store.steampowered.com/app/301242/Fantasy_Grounds__35EPFRPG_B01_Under_His_Skin/?snr=1_7_7_230_150_48,"SmiteWorks USA, LLC",Indie,,12.39,"16 May, 2014",,Fantasy Grounds - 3.5E/PFRPG: B01: Under His Skin,http://store.steampowered.com/app/301242/Fantasy_Grounds__35EPFRPG_B01_Under_His_Skin/?snr=1_7_7_230_150_48,{}
http://store.steampowered.com/app/301248/Fantasy_Grounds__CC_U1_Shadows_of_Halfling_Hall/?snr=1_7_7_230_150_48,"SmiteWorks USA, LLC",Indie,,8.69,"16 May, 2014",,Fantasy Grounds - C&C: U1 Shadows of Halfling Hall,http://store.steampowered.com/app/301248/Fantasy_Grounds__CC_U1_Shadows_of_Halfling_Hall/?snr=1_7_7_230_150_48,{}
http://store.steampowered.com/app/299280/Fantasy_Grounds__Castles__Crusades_Ruleset/?snr=1_7_7_230_150_48,"SmiteWorks USA, LLC",RPG,,20.69,"9 May, 2014",,Fantasy Grounds - Castles & Crusades Ruleset,http://store.steampowered.com/app/299280/Fantasy_Grounds__Castles__Crusades_Ruleset/?snr=1_7_7_230_150_48,{}
http://store.steampowered.com/app/308010/Fantasy_Grounds__PFRPG_Curse_of_the_Sickled_Hand/?snr=1_7_7_230_150_48,"SmiteWorks USA, LLC",Indie,,18.59,"13 Jun, 2014",,Fantasy Grounds - PFRPG Curse of the Sickled Hand,http://store.steampowered.com/app/308010/Fantasy_Grounds__PFRPG_Curse_of_the_Sickled_Hand/?snr=1_7_7_230_150_48,{}
