game,release_date,price,score,userscore,metascore,owners,playtime,median_playtime,developer,publisher,genre
Unturned,2017-07-07,0.0,77.0,91.0,0.0,33517329,20.9,2.53333333333,Smartly Dressed Games,Smartly Dressed Games,Adventure
PLAYERUNKNOWN'S BATTLEGROUNDS,2017-03-23,29.99,15.0,59.0,0.0,25460586,145.966666667,89.7833333333,PUBG Corporation,PUBG Corporation,Adventure
Terraria,2011-05-16,9.99,97.0,97.0,83.0,9555819,82.7166666667,24.5333333333,Re-Logic,Re-Logic,Adventure
Trove,2015-07-09,0.0,40.0,77.0,0.0,8981775,20.45,1.91666666667,Trion Worlds,Trion Worlds,Adventure
Grand Theft Auto V,2015-04-13,29.99,24.0,67.0,96.0,8881414,126.466666667,66.2,Rockstar North,Rockstar Games,Adventure
Path of Exile,2013-10-23,0.0,81.0,92.0,86.0,8550277,65.0833333333,4.13333333333,Grinding Gear Games,Grinding Gear Games,Adventure
H1Z1,2016-02-17,19.99,19.0,63.0,0.0,7931843,85.6833333333,17.8,Daybreak Game Company,Daybreak Game Company,Adventure
ARK: Survival Of The Fittest,2017-08-29,0.0,22.0,65.0,0.0,7311202,3.3,0.4,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,Adventure
Don't Starve Together,2016-04-21,14.99,95.0,96.0,83.0,7050925,26.3666666667,8.61666666667,Klei Entertainment,Klei Entertainment,Adventure
Rust,2013-12-11,19.99,46.0,80.0,0.0,6316414,118.9,24.5,Facepunch Studios,Facepunch Studios,Adventure
ARK: Survival Evolved,2017-08-29,59.99,25.0,68.0,70.0,5484574,144.3,18.9833333333,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,Adventure
Clicker Heroes,2015-05-13,0.0,74.0,90.0,0.0,5349748,107.916666667,6.25,Playsaurus,Playsaurus,Adventure
theHunter Classic,2014-06-03,0.0,5.0,42.0,0.0,5249111,6.95,0.65,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",Adventure
Neverwinter,2013-12-05,0.0,42.0,78.0,74.0,5208580,32.1833333333,4.83333333333,Cryptic Studios,Perfect World Entertainment,Adventure
Tomb Raider,2013-03-04,19.99,92.0,95.0,86.0,5055006,15.5666666667,10.7166666667,"Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",Adventure
Life is Strange - Episode 1,2015-01-29,0.0,95.0,96.0,0.0,4959883,8.31666666667,2.73333333333,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",Adventure
Don't Starve,,14.99,97.0,97.0,79.0,4589043,23.9166666667,6.1,Klei Entertainment,Klei Entertainment,Adventure
Last Man Standing,2017-03-29,0.0,19.0,63.0,0.0,4502192,6.4,1.13333333333,"Free Reign Entertainment, Free Reign Entertainment",Free Reign Entertainment,Adventure
TERA,2015-05-05,0.0,46.0,80.0,77.0,4477102,28.6333333333,4.2,"Bluehole, Inc.",En Masse Entertainment,Adventure
Just Cause 2,2010-03-23,14.99,77.0,91.0,84.0,4443740,16.15,3.55,Avalanche Studios,Square Enix,Adventure
Creativerse,2017-05-08,0.0,46.0,80.0,0.0,4430505,8.61666666667,1.35,Playful Corporation,Playful Corporation,Adventure
Middle-earth: Shadow of Mordor,2014-09-30,19.99,77.0,91.0,0.0,4408999,20.75,14.0166666667,"Monolith Productions, Feral Interactive (Mac), Feral Interactive (Linux)","WB Games, Feral Interactive (Mac)",Adventure
Grand Theft Auto IV,2008-12-02,19.99,19.0,63.0,90.0,4386942,24.3166666667,7.81666666667,"Rockstar North, Rockstar Toronto",Rockstar Games,Adventure
LIMBO,2011-08-02,9.99,89.0,94.0,88.0,4384736,3.06666666667,1.86666666667,Playdead,Playdead,Adventure
Outlast,2013-09-04,19.99,95.0,96.0,80.0,4384461,4.06666666667,1.7,Red Barrels,Red Barrels,Adventure
Castle Crashers,2012-09-26,14.99,95.0,96.0,0.0,3914362,10.2166666667,4.18333333333,The Behemoth,The Behemoth,Adventure
Torchlight II,2012-09-20,19.99,92.0,95.0,88.0,3702887,25.25,11.4166666667,Runic Games,Runic Games,Adventure
Batman: Arkham City - Game of the Year Edition,2012-09-07,19.99,92.0,95.0,91.0,3695442,16.7833333333,8.26666666667,"Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",Adventure
The Forest,2014-05-30,14.99,81.0,92.0,0.0,3564201,22.6,11.5833333333,Endnight Games Ltd,Endnight Games Ltd,Adventure
The Walking Dead,2012-04-24,24.99,95.0,96.0,82.0,3562271,11.3833333333,8.73333333333,Telltale Games,Telltale Games,Adventure
Dishonored,2012-10-08,9.99,95.0,96.0,91.0,3450881,17.45,10.05,Arkane Studios,Bethesda Softworks,Adventure
Amnesia: The Dark Descent,2010-09-08,19.99,95.0,96.0,85.0,3429375,4.23333333333,1.35,Frictional Games,Frictional Games,Adventure
Cry of Fear,2013-04-25,0.0,61.0,86.0,0.0,3353001,2.63333333333,0.733333333333,Team Psykskallar,Team Psykskallar,Adventure
The Expendabros,2014-08-05,0.0,97.0,97.0,0.0,3271940,2.53333333333,1.01666666667,Free Lives,Devolver Digital,Adventure
The Binding of Isaac,2011-09-28,4.99,92.0,95.0,84.0,3250986,31.4166666667,6.05,Edmund McMillen and Florian Himsl,Edmund McMillen,Adventure
Far Cry 3,2012-12-04,19.99,70.0,89.0,88.0,3231961,28.0,17.0833333333,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,Adventure
Spiral Knights,2011-06-14,0.0,53.0,83.0,64.0,3219554,20.1166666667,1.5,Grey Havens,,Adventure
Starbound,2016-07-22,14.99,74.0,90.0,81.0,3124431,57.35,26.2333333333,Chucklefish,Chucklefish,Adventure
Trine 2: Complete Story,2013-06-06,19.99,95.0,96.0,84.0,2980783,6.53333333333,3.26666666667,Frozenbyte,Frozenbyte,Adventure
Just Survive,2015-01-15,19.99,17.0,61.0,0.0,2941079,63.2833333333,15.4166666667,Daybreak Game Company,Daybreak Game Company,Adventure
S.K.I.L.L. - Special Force 2 (Shooter),2015-05-19,0.0,26.0,69.0,0.0,2908545,11.7666666667,1.48333333333,"Dragonfly GF Co., LTD",Gameforge 4D GmbH,Adventure
Mirror's Edge,2009-01-14,19.99,67.0,88.0,81.0,2893931,4.85,2.15,DICE,Electronic Arts,Adventure
BattleBlock Theater,2014-05-15,14.99,97.0,97.0,85.0,2891174,8.98333333333,4.36666666667,The Behemoth,The Behemoth,Adventure
Darksiders Warmastered Edition,2016-11-29,19.99,58.0,85.0,0.0,2820315,6.8,3.15,"KAIKO, Vigil Games",THQ Nordic,Adventure
STAR WARS - Knights of the Old Republic,2009-09-05,9.99,67.0,88.0,0.0,2817558,14.25,2.85,"BioWare, Aspyr (Mac)","LucasArts, Aspyr (Mac), Disney Interactive, Lucasfilm",Adventure
7 Days to Die,2013-12-13,24.99,48.0,81.0,0.0,2766550,82.2,16.1666666667,The Fun Pimps,The Fun Pimps Entertainment LLC,Adventure
DC Universe Online,2011-11-02,0.0,48.0,81.0,72.0,2596984,24.5166666667,5.63333333333,Daybreak Game Company,Daybreak Game Company,Adventure
Aura Kingdom,,0.0,44.0,79.0,0.0,2545149,18.0,1.18333333333,X-Legend,Aeria Games,Adventure
SEGA Mega Drive and Genesis Classics,2010-06-01,0.0,46.0,80.0,0.0,2484767,3.36666666667,0.433333333333,D3T Limited,SEGA,Adventure
ORION: Prelude,2013-04-16,0.99,40.0,77.0,0.0,2476771,4.66666666667,1.48333333333,"Trek Industries, Inc","Trek Industries, Inc",Adventure
South Park: The Stick of Truth,2014-03-03,29.99,97.0,97.0,0.0,2471532,15.65,12.5666666667,Obsidian Entertainment,Ubisoft,Adventure
The Stanley Parable,2013-10-17,14.99,77.0,91.0,88.0,2407841,3.75,2.16666666667,Galactic Cafe,Galactic Cafe,Adventure
Guns of Icarus Online,2012-10-29,4.99,85.0,93.0,64.0,2396537,10.6333333333,3.53333333333,Muse Games,Muse Games,Adventure
This War of Mine,2014-11-14,19.99,92.0,95.0,83.0,2391574,13.45,5.38333333333,11 bit studios,11 bit studios,Adventure
Brutal Legend,2013-02-26,14.99,89.0,94.0,80.0,2370344,5.58333333333,3.06666666667,Double Fine Productions,Double Fine Productions,Adventure
Batman: Arkham Origins,2013-10-24,19.99,56.0,84.0,74.0,2356282,19.55,10.8833333333,"WB Games Montreal, Splash Damage",Warner Bros. Interactive Entertainment,Adventure
Alan Wake,2012-02-16,0.0,77.0,91.0,83.0,2351044,6.76666666667,2.96666666667,Remedy Entertainment,Remedy Entertainment,Adventure
Monaco: What's Yours Is Mine,2013-04-24,14.99,81.0,92.0,83.0,2296176,3.36666666667,1.78333333333,Pocketwatch Games,Pocketwatch Games,Adventure
The Mighty Quest For Epic Loot,2014-02-25,0.0,23.0,66.0,64.0,2204086,14.5666666667,3.38333333333,Ubisoft Montreal,Ubisoft Montreal,Adventure
Jotun: Valhalla Edition,2015-09-29,14.99,48.0,81.0,79.0,2201880,2.46666666667,1.08333333333,Thunder Lotus Games,Thunder Lotus Games,Adventure
Rise of the Tomb Raider,2016-02-09,59.99,85.0,93.0,86.0,2051339,22.4,16.2166666667,Crystal Dynamics,Square Enix,Adventure
Knight Online,2016-01-25,0.0,7.0,46.0,0.0,2051339,37.2,0.283333333333,"Noah System, Mgame",NTTGame,Adventure
Oddworld: Abe's Oddysee,2008-08-28,2.99,81.0,92.0,0.0,1912653,2.83333333333,1.93333333333,Oddworld Inhabitants,Oddworld Inhabitants,Adventure
"Papers, Please",2013-08-08,9.99,95.0,96.0,85.0,1906863,6.31666666667,3.3,3909,3909,Adventure
POSTAL 2,2012-11-02,9.99,92.0,95.0,59.0,1843723,6.76666666667,2.75,Running With Scissors,Running With Scissors,Adventure
Spec Ops: The Line,2012-06-25,29.99,85.0,93.0,76.0,1803744,6.46666666667,4.7,Yager Development,"2K Games, Missing Link Games",Adventure
Emily is Away,2015-11-20,0.0,67.0,88.0,0.0,1788304,1.4,0.683333333333,Kyle Seeley,Kyle Seeley,Adventure
Mark of the Ninja,2012-10-16,14.99,97.0,97.0,91.0,1784995,6.71666666667,3.13333333333,Klei Entertainment,Microsoft Studios,Adventure
Just Cause 2: Multiplayer Mod,2013-12-16,0.0,81.0,92.0,0.0,1779481,8.08333333333,2.61666666667,Avalanche Studios,Square Enix,Adventure
Riders of Icarus,2016-07-06,0.0,23.0,66.0,0.0,1755218,22.9166666667,1.48333333333,WeMade,Nexon America,Adventure
Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour,2016-12-18,0.0,61.0,86.0,0.0,1748325,0.733333333333,0.366666666667,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Adventure
Subnautica,2014-12-16,24.99,81.0,92.0,0.0,1713860,25.7833333333,10.7666666667,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Adventure
Trine Enchanted Edition,2009-07-02,14.99,95.0,96.0,80.0,1702280,5.01666666667,2.75,Frozenbyte,Frozenbyte,Adventure
Alan Wake's American Nightmare,2012-05-22,9.99,29.0,71.0,73.0,1693457,2.8,1.46666666667,Remedy Entertainment,Remedy Entertainment,Adventure
Tom Clancys The Division,2016-03-07,49.99,22.0,65.0,0.0,1670297,83.05,36.7333333333,Massive Entertainment,Ubisoft,Adventure
Scribblenauts Unlimited,2012-11-19,19.99,77.0,91.0,75.0,1639417,9.18333333333,3.8,5th Cell Media,Warner Bros. Interactive Entertainment,Adventure
L.A. Noire,2011-11-08,19.99,61.0,86.0,83.0,1639141,13.4166666667,5.75,"Team Bondi, Rockstar Leeds",Rockstar Games,Adventure
Mad Max,2015-09-01,19.99,70.0,89.0,73.0,1605779,26.4166666667,15.7,"Avalanche Studios, Feral Interactive (Mac/Linux)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac/Linux)",Adventure
Just Cause 3,2015-11-30,49.99,29.0,71.0,74.0,1590615,28.1333333333,15.0,Avalanche Studios,Square Enix,Adventure
Assassins Creed IV Black Flag,2013-11-19,19.99,64.0,87.0,0.0,1564697,41.3166666667,24.9333333333,Ubisoft Montreal,Ubisoft,Adventure
Sleeping Dogs,,0.0,85.0,93.0,81.0,1531060,17.7833333333,11.7666666667,United Front Games,Square Enix,Adventure
How to Survive,2014-08-29,14.99,53.0,83.0,60.0,1506245,6.4,2.9,Eko Software,505 Games,Adventure
Thief,2014-02-27,29.99,28.0,70.0,70.0,1487772,12.7833333333,4.23333333333,"Eidos-Montréal, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",Adventure
Brothers - A Tale of Two Sons,2013-09-03,14.99,92.0,95.0,90.0,1467920,2.83333333333,1.96666666667,Starbreeze Studios AB,505 Games,Adventure
Everlasting Summer,2014-11-19,0.0,92.0,95.0,0.0,1467645,12.3333333333,1.95,Soviet Games,Soviet Games,Adventure
Broforce,2015-10-15,14.99,97.0,97.0,83.0,1460200,11.5166666667,5.56666666667,Free Lives,Devolver Digital,Adventure
METAL GEAR SOLID V: THE PHANTOM PAIN,2015-09-01,19.99,67.0,88.0,91.0,1458546,68.7,40.2666666667,Konami Digital Entertainment,Konami Digital Entertainment,Adventure
Divinity: Original Sin - Enhanced Edition,2015-10-27,39.99,74.0,90.0,94.0,1457994,28.5333333333,8.95,Larian Studios,Larian Studios,Adventure
Divinity: Original Sin (Classic),2014-06-30,0.0,74.0,90.0,87.0,1441727,35.1666666667,13.5833333333,Larian Studios,Larian Studios,Adventure
Assassin's Creed 2 Deluxe Edition,2010-03-09,19.99,53.0,83.0,86.0,1430974,23.7833333333,12.4833333333,Ubisoft Montreal,Ubisoft,Adventure
Sniper Elite 3,2014-06-27,29.99,44.0,79.0,0.0,1404230,14.9,5.81666666667,Rebellion,Rebellion,Adventure
Moonbase Alpha,2010-07-06,0.0,70.0,89.0,0.0,1383826,1.85,0.583333333333,"Virtual Heroes, Army Game Studio",NASA,Adventure
Batman: Arkham Knight,2015-06-23,19.99,38.0,76.0,0.0,1371143,27.4833333333,15.55,Rocksteady Studios,Warner Bros. Interactive Entertainment,Adventure
The Walking Dead: Season 2,2013-12-17,24.99,92.0,95.0,0.0,1355703,10.9333333333,9.35,Telltale Games,Telltale Games,Adventure
Resident Evil 6 / Biohazard 6,2013-03-22,29.99,44.0,79.0,69.0,1351843,20.85,9.15,Capcom,Capcom,Adventure
WAKFU,2014-09-18,0.0,44.0,79.0,76.0,1347432,23.7,1.91666666667,Ankama Studio,Ankama Games,Adventure
To the Moon,2012-09-07,9.99,95.0,96.0,81.0,1347156,3.28333333333,2.91666666667,Freebird Games,Freebird Games,Adventure
Dragons and Titans,2014-03-12,0.0,40.0,77.0,43.0,1312967,5.01666666667,0.55,Wyrmbyte,Versus Evil,Adventure
Outland,2014-09-29,9.99,51.0,82.0,83.0,1309658,2.86666666667,1.55,Housemarque,Housemarque,Adventure
Elsword,2014-07-02,0.0,40.0,77.0,0.0,1296975,26.3333333333,1.01666666667,KOG,KOG Games,Adventure
School of Dragons,2014-12-04,0.0,9.0,50.0,0.0,1270231,4.1,0.766666666667,"JumpStart Games, Inc.","JumpStart Games, Inc.",Adventure
Hero Siege,2014-01-29,5.99,46.0,80.0,0.0,1266922,12.25,4.0,"Elias Viglione, Jussi Kukkonen",Panic Art Studios,Adventure
Only If,2014-07-25,0.0,21.0,64.0,39.0,1243762,0.916666666667,0.366666666667,Creability,Creability,Adventure
The Long Dark,2017-08-01,34.99,81.0,92.0,0.0,1239902,23.0166666667,6.2,Hinterland Studio Inc.,Hinterland Studio Inc.,Adventure
Spooky's Jump Scare Mansion,2015-07-28,0.0,81.0,92.0,0.0,1234388,1.8,0.483333333333,Lag Studios,Lag Studios,Adventure
Far Cry 3 - Blood Dragon,2013-05-01,14.99,67.0,88.0,81.0,1228597,6.85,2.98333333333,Ubisoft Montreal,Ubisoft,Adventure
DmC: Devil May Cry,2013-01-24,7.49,89.0,94.0,85.0,1217569,9.7,5.48333333333,Ninja Theory,Capcom,Adventure
Dust: An Elysian Tail,2013-05-24,14.99,95.0,96.0,0.0,1208746,7.26666666667,3.18333333333,Humble Hearts LLC,Microsoft Studios,Adventure
The Escapists,2015-02-13,17.99,70.0,89.0,71.0,1208194,13.4666666667,5.48333333333,Mouldy Toof Studios,Team17 Digital Ltd,Adventure
Elite Dangerous,2015-04-02,29.99,25.0,68.0,80.0,1193581,89.85,19.7,Frontier Developments,Frontier Developments,Adventure
SPINTIRES,2014-06-12,14.99,56.0,84.0,67.0,1193306,26.9333333333,9.2,Oovee® Game Studios,"Oovee® Game Studios, IMGN.PRO",Adventure
BrainBread 2,2016-07-20,0.0,24.0,67.0,0.0,1189721,2.1,0.55,Reperio Studios,Reperio Studios,Adventure
Grim Dawn,2016-02-25,24.99,77.0,91.0,83.0,1162425,59.15,18.0166666667,Crate Entertainment,Crate Entertainment,Adventure
No Time To Explain Remastered,2015-07-17,14.99,58.0,85.0,0.0,1153051,1.9,0.916666666667,tinyBuild,tinyBuild,Adventure
Contagion,2013-10-25,9.99,36.0,75.0,62.0,1143125,6.26666666667,2.73333333333,"Monochrome, Inc","Monochrome, Inc",Adventure
Resident Evil 5/ Biohazard 5,2009-09-15,19.99,58.0,85.0,86.0,1140368,16.1666666667,8.93333333333,Capcom,Capcom,Adventure
The Wolf Among Us,2013-10-11,24.99,97.0,97.0,85.0,1138162,10.0833333333,8.43333333333,Telltale Games,Telltale Games,Adventure
Shadowrun Returns,2013-07-25,14.99,70.0,89.0,76.0,1136508,14.6166666667,6.9,Harebrained Schemes,Harebrained Holdings,Adventure
Assassins Creed III,2012-11-20,19.99,36.0,75.0,80.0,1132648,34.7166666667,18.85,Ubisoft Montreal,Ubisoft,Adventure
Antichamber,2013-01-31,19.99,95.0,96.0,82.0,1116105,4.06666666667,1.78333333333,Alexander Bruce,Demruth,Adventure
Viking: Battle for Asgard,2012-10-17,14.99,11.0,53.0,0.0,1098734,2.8,0.433333333333,"Creative Assembly, PC Port - Hardlight",SEGA,Adventure
Vindictus,2012-06-22,0.0,33.0,73.0,76.0,1080537,32.0666666667,2.35,Nexon,Nexon America Inc.,Adventure
Far Cry 4,,29.99,42.0,78.0,80.0,1074471,36.25,23.8833333333,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,Adventure
Darksiders II Deathinitive Edition,2015-11-05,29.99,36.0,75.0,0.0,1072817,10.95,4.31666666667,"Gunfire Games, Vigil Games, THQ Nordic",THQ Nordic,Adventure
Deadlight,2012-10-25,14.99,46.0,80.0,78.0,1053793,3.45,2.43333333333,"Tequila Works, S.L.",Microsoft Studios,Adventure
Digimon Masters Online,2016-11-03,0.0,25.0,68.0,0.0,1052414,17.25,0.5,"Move Games Co., Ltd.","Move Games Co., Ltd.",Adventure
Lara Croft and the Guardian of Light,2010-09-28,9.99,85.0,93.0,82.0,1049105,5.6,1.78333333333,Crystal Dynamics,Square Enix,Adventure
No Man's Sky,2016-08-12,59.99,3.0,37.0,61.0,1021258,30.4,15.1833333333,Hello Games,Hello Games,Adventure
Cubic Castles,2014-08-13,0.0,29.0,71.0,0.0,1019879,6.75,0.633333333333,Cosmic Cow LLC,Cosmic Cow LLC,Adventure
Tomb Raider: Underworld,2008-11-21,8.99,40.0,77.0,80.0,985966,5.9,1.25,Crystal Dynamics,Square Enix,Adventure
Legend of Grimrock,2012-04-11,14.99,89.0,94.0,82.0,983760,9.68333333333,3.41666666667,Almost Human Games,Almost Human Games,Adventure
LEGO Marvel Super Heroes,2013-10-22,19.99,81.0,92.0,78.0,970250,34.1833333333,10.7333333333,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",Adventure
Deponia,2012-08-06,9.99,74.0,90.0,74.0,966114,5.6,3.8,Daedalic Entertainment,Daedalic Entertainment,Adventure
Assassins Creed Brotherhood,2011-03-22,19.99,64.0,87.0,88.0,964460,24.6666666667,14.7333333333,Ubisoft Montreal,Ubisoft,Adventure
Tomb Raider: Anniversary,2007-06-05,8.99,58.0,85.0,83.0,953431,6.15,1.51666666667,"Crystal Dynamics, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",Adventure
Divinity: Original Sin 2,2017-09-14,44.99,89.0,94.0,93.0,951501,55.9333333333,36.0333333333,Larian Studios,Larian Studios,Adventure
METAL GEAR SOLID V: GROUND ZEROES,2014-12-18,19.99,53.0,83.0,80.0,944057,6.36666666667,3.03333333333,Kojima Productions,Konami Digital Entertainment,Adventure
Hammerwatch,2013-08-12,9.99,70.0,89.0,72.0,942954,7.01666666667,3.13333333333,Crackshell,Crackshell,Adventure
Resident Evil Revelations 2 / Biohazard Revelations 2,2015-02-24,5.99,38.0,76.0,0.0,936613,13.6,3.5,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Adventure
Slime Rancher,2017-08-01,19.99,92.0,95.0,81.0,929444,19.45,9.23333333333,Monomi Park,Monomi Park,Adventure
Gang Beasts,2014-08-29,19.99,31.0,72.0,0.0,925308,7.43333333333,2.53333333333,Boneloaf,Double Fine Presents,Adventure
Assassin's Creed: Director's Cut Edition,2008-04-09,19.99,53.0,83.0,79.0,924205,10.1833333333,4.48333333333,Ubisoft Montreal,Ubisoft,Adventure
Secret World Legends,2017-07-31,0.0,31.0,72.0,76.0,916209,35.35,5.6,Funcom,Funcom,Adventure
The Incredible Adventures of Van Helsing,2013-05-22,14.99,53.0,83.0,72.0,913177,9.86666666667,4.1,NeocoreGames,NeocoreGames,Adventure
Tom Clancys Splinter Cell Blacklist,2013-08-20,29.99,53.0,83.0,0.0,909317,20.2666666667,10.45,Ubisoft Toronto,Ubisoft,Adventure
Stranded Deep,2015-01-23,14.99,40.0,77.0,0.0,902699,11.3333333333,4.9,Beam Team Games,Beam Team Pty Ltd,Adventure
Bully: Scholarship Edition,2008-10-21,14.99,53.0,83.0,72.0,900494,7.7,2.13333333333,Rockstar New England,Rockstar Games,Adventure
The Talos Principle,2014-12-11,39.99,92.0,95.0,85.0,900218,14.7333333333,5.58333333333,Croteam,"Devolver Digital, Croteam",Adventure
Tomb Raider: Legend,2007-03-29,6.99,67.0,88.0,82.0,896909,5.48333333333,1.43333333333,Crystal Dynamics,Square Enix,Adventure
Shakes and Fidget,2016-02-24,0.0,61.0,86.0,0.0,894703,54.4833333333,1.56666666667,Playa Games GmbH,Playa Games GmbH,Adventure
Superbrothers: Sword & Sworcery EP,2012-04-16,7.99,46.0,80.0,0.0,894428,1.65,0.45,"Capybara, Superbrothers, Jim Guthrie",Capybara Games,Adventure
Assassin's Creed Revelations,2011-11-29,19.99,61.0,86.0,80.0,886983,21.8666666667,14.35,Ubisoft Montreal,Ubisoft,Adventure
8BitMMO,2015-01-26,0.0,14.0,58.0,0.0,884226,1.25,0.266666666667,Archive Entertainment,Archive Entertainment,Adventure
Dungeons & Dragons Online,2012-06-25,0.0,34.0,74.0,0.0,881469,20.2666666667,1.2,"Standing Stone Games, LLC","Standing Stone Games, LLC",Adventure
resident evil 4 / biohazard 4,2014-02-27,19.99,53.0,83.0,79.0,872922,12.4,3.78333333333,Capcom,Capcom,Adventure
The Swapper,2013-05-30,14.99,95.0,96.0,87.0,872095,3.16666666667,1.5,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games,Adventure
Watch_Dogs,2014-05-26,29.99,23.0,66.0,77.0,867132,27.1166666667,14.8,Ubisoft,Ubisoft,Adventure
Sleeping Dogs: Definitive Edition,2014-10-08,29.99,67.0,88.0,0.0,859963,13.3666666667,5.43333333333,"United Front Games, Feral Interactive (Mac)","SQUARE ENIX, Feral Interactive (Mac)",Adventure
Enter the Gungeon,2016-04-05,14.99,81.0,92.0,84.0,857206,21.6166666667,7.78333333333,Dodge Roll,Devolver Digital,Adventure
Guacamelee! Gold Edition,2013-08-08,14.99,89.0,94.0,88.0,856930,4.91666666667,2.26666666667,DrinkBox Studios,DrinkBox Studios,Adventure
Machinarium,2009-10-16,9.99,92.0,95.0,85.0,856103,4.45,2.2,Amanita Design,Amanita Design,Adventure
Haunted Memories,2013-10-04,0.0,0.0,0.0,0.0,853070,0.516666666667,0.216666666667,MadMan Theory Games,MadMan Theory Games,Adventure
Firewatch,2016-02-09,19.99,56.0,84.0,81.0,851416,4.98333333333,4.18333333333,Campo Santo,"Panic Inc., Campo Santo",Adventure
Dungeon of the Endless,2014-10-27,11.99,74.0,90.0,79.0,845074,11.3333333333,4.03333333333,AMPLITUDE Studios,SEGA,Adventure
Dragon's Dogma: Dark Arisen,2016-01-15,29.99,70.0,89.0,81.0,842593,31.6166666667,10.0833333333,Capcom,Capcom,Adventure
ASTRONEER,2016-12-15,19.99,61.0,86.0,0.0,835700,11.9666666667,7.41666666667,System Era Softworks,System Era Softworks,Adventure
Dear Esther: Landmark Edition,2017-02-14,9.99,40.0,77.0,0.0,835148,1.75,0.833333333333,"The Chinese Room, Robert Briscoe",The Chinese Room,Adventure
Serena,2014-01-30,0.0,42.0,78.0,0.0,832116,4.13333333333,0.183333333333,Senscape,Senscape,Adventure
Dear Esther,,0.0,44.0,79.0,75.0,828531,1.65,0.983333333333,"The Chinese Room, Robert Briscoe",The Chinese Room,Adventure
Murdered: Soul Suspect,2014-06-03,29.99,58.0,85.0,59.0,825498,5.38333333333,3.43333333333,Airtight Games,Square Enix,Adventure
Black Desert Online,2017-05-24,9.99,29.0,71.0,73.0,824395,90.3166666667,8.83333333333,Pearl Abyss,Kakao Games Europe B.V.,Adventure
Gauntlet Slayer Edition,2014-09-23,19.99,38.0,76.0,0.0,822465,7.68333333333,3.55,Arrowhead Game Studios,WB Games,Adventure
Tales from the Borderlands,2014-11-25,24.99,92.0,95.0,0.0,822190,10.5,10.2666666667,Telltale Games,Telltale Games,Adventure
Miscreated,2014-10-30,19.99,26.0,69.0,0.0,815848,22.3166666667,5.08333333333,Entrada Interactive LLC,Entrada Interactive LLC,Adventure
Little Inferno,2012-11-19,9.99,89.0,94.0,68.0,811161,5.25,3.51666666667,Tomorrow Corporation,Tomorrow Corporation,Adventure
Shadowrun: Dragonfall - Director's Cut,2014-09-18,14.99,74.0,90.0,87.0,810885,16.65,5.31666666667,Harebrained Schemes,Harebrained Holdings,Adventure
Grim Fandango Remastered,2015-01-26,14.99,74.0,90.0,84.0,809231,4.86666666667,2.41666666667,Double Fine Productions,Double Fine Productions,Adventure
Cave Story+,2011-11-22,14.99,95.0,96.0,83.0,808404,4.85,1.51666666667,"Nicalis, Inc., Studio Pixel","Nicalis, Inc.",Adventure
Woodle Tree Adventures,2016-03-02,2.99,28.0,70.0,0.0,803441,2.8,2.68333333333,Fabio Ferrara,Chubby Pixel,Adventure
Remember Me,2013-06-03,29.99,53.0,83.0,65.0,793239,8.6,4.36666666667,DONTNOD Entertainment,Capcom,Adventure
Tomb Raider I,2012-11-28,6.99,56.0,84.0,0.0,786622,2.65,0.3,Core Design,Square Enix,Adventure
Tom Clancy's Ghost Recon® Wildlands Open Beta,2017-02-23,0.0,8.0,49.0,0.0,777799,4.43333333333,2.3,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections",Ubisoft,Adventure
Tomb Raider II,2012-11-28,6.99,70.0,89.0,0.0,776145,3.23333333333,0.283333333333,Core Design,Square Enix,Adventure
Dead Rising 2,2010-09-27,19.99,34.0,74.0,78.0,773112,9.18333333333,3.63333333333,Capcom Vancouver,Capcom,Adventure
La Tale,2014-06-17,0.0,0.0,0.0,0.0,771458,3.41666666667,0.633333333333,Actoz Soft,OGPlanet,Adventure
Tomb Raider III,2012-11-28,6.99,56.0,84.0,0.0,767598,3.6,0.166666666667,Core Design,Square Enix,Adventure
